ID,name,loc,country,country_id,rank_raw,rank,scholarship,status,research_output,student_faculty_ratio,int_students,size,total_faculty,link,admission_raw,city,tuition_fee_raw,currency,exchange_rate,fee_min,fee_max,fee_avg,fee_min_usd,fee_max_usd,fee_avg_usd
919,Yeungnam University,"Yeungnam University Gyeongsan, South Korea",South Korea,90,951-1000,,,Private,Very High,14,1604,L,"1,521",https://www.topuniversities.com/universities/yeungnam-university,,Yeungnam University Gyeongsan,4743000,KRW,0.00073,4743000,4743000,4743000,3462.39,3462.39,3462.39
920,Aligarh Muslim University,"Aligarh Campus Aligarh, India",India,39,1001-1200,,,Public,Very High,15,212,L,"1,468",https://www.topuniversities.com/universities/aligarh-muslim-university,,Aligarh Campus Aligarh,400 - 4000,USD,1,400,4000,2200,400,4000,2200
921,Amity University,"Block E2, Sector-125, Amity University Campus, Noida, IN Noida, India",India,39,1001-1200,,,Private,Very High,15,3829,L,"1,855",https://www.topuniversities.com/universities/amity-university,,IN Noida,12500,GBP,1.25,12500,12500,12500,15625,15625,15625
922,Amrita Vishwa Vidyapeetham,"Amritapuri, Amritapuri, India +4",India,39,1001-1200,,,Private,Very High,11,273,L,"1,696",https://www.topuniversities.com/universities/amrita-vishwa-vidyapeetham,,Amritapuri,3000 - 8000,USD,1,3000,8000,5500,3000,8000,5500
923,An-Najah National University,"Khadouri Campus, Nablus, Palestine +1",Palestine,77,1001-1200,,,Public,Medium,17,2869,L,"1,113",https://www.topuniversities.com/universities/najah-national-university,,Nablus,1105,USD,1,1105,1105,1105,1105,1105,1105
924,"Arab Academy for Science, Technology and Maritime Transport (AASTMT)","AASTMT Alexandria, Alexandria, Egypt +4",Egypt,27,1001-1200,,,Public,Very High,10,3700,L,"2,693",https://www.topuniversities.com/universities/arab-academy-science-technology-maritime-transport-aastmt,,Alexandria,6814,USD,1,6814,6814,6814,6814,6814,6814
925,Azerbaijan State Oil and Industry University,"Main Campus Baku, Azerbaijan",Azerbaijan,5,1001-1200,,,Public,High,10,464,L,,https://www.topuniversities.com/universities/azerbaijan-state-oil-industry-university,"BSC:
- Own admission test: 200+

MSC:
- Own admission test: 51+",Main Campus Baku,2000 - 2500,USD,1,2000,2500,2250,2000,2500,2250
926,Azerbaijan State University of Economics,"UNEC Main Campus, Baku, Azerbaijan +3",Azerbaijan,5,1001-1200,,,Public,High,9,693,L,"1,885",https://www.topuniversities.com/universities/azerbaijan-state-university-economics,,Baku,1800 - 2000,USD,1,1800,2000,1900,1800,2000,1900
927,BRAC University,"BRAC University Dhaka, Bangladesh",Bangladesh,7,1001-1200,,,Private,High,16,181,L,"1,071",https://www.topuniversities.com/universities/brac-university,,BRAC University Dhaka,8250 - 8800,BDT,0.0091,8250,8800,8525,75.075,80.08,77.5775
928,Banaras Hindu University,"Varanasi, IN, Varanasi, India +1",India,39,1001-1200,,,Public,Very High,17,449,L,"1,768",https://www.topuniversities.com/universities/banaras-hindu-university,,Varanasi,100 - 450,INR,0.012,100,450,275,1.2,5.4,3.3
929,Baylor University,"Baylor Campus Waco, United States",United States,104,1001-1200,,Yes,Private,Very High,14,881,L,"1,348",https://www.topuniversities.com/universities/baylor-university,"BSC:
- IELTS: 6+
- GPA: 3+
- SAT: 1140+
- TOEFL: 76+

MSC:
- IELTS: 6.5+
- GPA: 3+
- GMAT: 612+
- TOEFL: 80+",Baylor Campus Waco,63620,USD,1,63620,63620,63620,63620,63620,63620
930,Bielefeld University,"Main campus Bielefeld, Germany",Germany,34,1001-1200,,,Public,Very High,17,1817,L,"1,501",https://www.topuniversities.com/universities/bielefeld-university,,Main campus Bielefeld,0,,,0,0,0,,,
931,Binghamton University SUNY,"Binghamton University Binghamton, United States",United States,104,1001-1200,,,Public,Very High,19,1605,L,,https://www.topuniversities.com/universities/binghamton-university-suny,"BSC:
- TOEFL: 80+
- IELTS: 6.5+
- SAT: 1310+

MSC:
- GMAT: 670+
- IELTS: 6.5+
- TOEFL: 80+",Binghamton University Binghamton,26950,USD,1,26950,26950,26950,26950,26950,26950
932,Birmingham City University,"Perry Barr, Birmingham, GB, Birmingham, United Kingdom +2",United Kingdom,103,1001-1200,,Yes,Public,High,17,7151,L,"1,489",https://www.topuniversities.com/universities/birmingham-city-university,"BSC:
- SAT: 1100+
- GMAT: 500+
- GPA: 2+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GPA: 2+
- IELTS: 6+",Birmingham,16000,GBP,1.25,16000,16000,16000,20000,20000,20000
933,Brigham Young University,"BYU Main Campus Provo, United States",United States,104,1001-1200,,,Private,Very High,20,1133,XL,"1,554",https://www.topuniversities.com/universities/brigham-young-university,"BSC:
- SAT: 1390+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GMAT: 672+
- GRE: 320+
- IELTS: 6+
- TOEFL: 80+",BYU Main Campus Provo,10332,USD,1,10332,10332,10332,10332,10332,10332
934,Canterbury Christ Church University,"Learning & Enterprise College Bexley, Bexleyheath, United Kingdom +2",United Kingdom,103,1001-1200,,Yes,Public,High,26,6951,L,670,https://www.topuniversities.com/universities/canterbury-christ-church-university,"BSC:
- SAT: 1390+
- IELTS: 6+

MSC:
- GMAT: 580+
- GPA: 2+
- IELTS: 6+",Bexleyheath,,,,,,,,,
935,Chang Jung Christian University,"Chang Jung Christian University Tainan City, Taiwan",Taiwan,97,1001-1200,,,Private,High,9,340,M,764,https://www.topuniversities.com/universities/chang-jung-christian-university,,Chang Jung Christian University Tainan City,37910 - 44670,TWD,0.17,37910,44670,41290,6444.7,7593.9,7019.3
936,Chung Yuan Christian University,"Chung Yuan Christian University Taoyuan City, Taiwan",Taiwan,97,1001-1200,,,Public,High,21,1129,L,747,https://www.topuniversities.com/universities/chung-yuan-christian-university,,Chung Yuan Christian University Taoyuan City,3500 - 4500,USD,1,3500,4500,4000,3500,4500,4000
937,Chungbuk National University,"Chungbuk National University Cheongju, South Korea",South Korea,90,1001-1200,,,Public,Very High,9,879,M,"1,176",https://www.topuniversities.com/universities/chungbuk-national-university,,Chungbuk National University Cheongju,"3,812,000 - 5,065,998",KRW,0.00073,3812000,5065998,4438999,2782.76,3698.17854,3240.46927
938,William & Mary,"William & Mary Williamsburg, United States",United States,104,1001-1200,,,Public,Very High,12,569,M,783,https://www.topuniversities.com/universities/william-mary,"BSC:
- TOEFL: 100+
- SAT: 1310+
- IELTS: 7+

MSC:
- GMAT: 620+
- GPA: 3+
- TOEFL: 93+",William & Mary Williamsburg,44876,USD,1,44876,44876,44876,44876,44876,44876
939,Corvinus University of Budapest,"Main Campus, Budapest, Hungary +1",Hungary,37,1001-1200,,,Private,Very High,20,1968,M,,https://www.topuniversities.com/universities/corvinus-university-budapest,,Budapest,3300,EUR,1.08,3300,3300,3300,3564,3564,3564
940,Cracow University of Technology (Politechnika Krakowska),"Main campus, Krakow, Poland +2",Poland,79,1001-1200,,,Public,Very High,11,479,L,"1,071",https://www.topuniversities.com/universities/cracow-university-technology-politechnika-krakowska,,Krakow,2000 - 5000,EUR,1.08,2000,5000,3500,2160,5400,3780
941,Dankook University,"Seoul, KR Seoul, South Korea",South Korea,90,1001-1200,,,Private,High,9,1730,L,"2,697",https://www.topuniversities.com/universities/dankook-university,,KR Seoul,4220,USD,1,4220,4220,4220,4220,4220,4220
942,EGE UNIVERSITY,"EGE UNIVERSITESI İzmir, Türkiye",Türkiye,99,1001-1200,,,Public,High,11,3034,L,"2,561",https://www.topuniversities.com/universities/ege-university,,EGE UNIVERSITESI İzmir,580 - 10000,USD,1,580,10000,5290,580,10000,5290
943,Fordham University,"Lincoln Center Campus, New York City, United States +1",United States,104,1001-1200,,Yes,Private,High,13,1601,L,"1,083",https://www.topuniversities.com/universities/fordham-university,"BSC:
- SAT: 1310+
- GPA: 3+
- IELTS: 7+
- TOEFL: 90+

MSC:
- GMAT: 520+
- GRE: 301+
- GPA: 3+
- IELTS: 7+
- TOEFL: 100+",New York City,1018 - 2100,USD,1,1018,2100,1559,1018,2100,1559
944,Gebze Technical University (GTU),"Gebze, TR Gebze, Türkiye",Türkiye,99,1001-1200,,,Public,Very High,21,300,M,,https://www.topuniversities.com/universities/gebze-technical-university-gtu,,TR Gebze,1000 - 4000,USD,1,1000,4000,2500,1000,4000,2500
945,George Mason University,"Fairfax Campus, Fairfax, United States +7",United States,104,1001-1200,,Yes,Public,Very High,14,3628,XL,,https://www.topuniversities.com/universities/george-mason-university,"BSC:
- SAT: 1197+
- GPA: 3.3+
- IELTS: 6.5+
- TOEFL: 80+

MSC:
- GMAT: 550+
- GPA: 3+
- IELTS: 6.5+
- TOEFL: 88+",Fairfax,17400 - 41280,USD,1,17400,41280,29340,17400,41280,29340
946,Gifu University,"Yanagido 1-1, Gifu, JP Gifu City, Japan",Japan,47,1001-1200,,,Public,Very High,9,286,M,839,https://www.topuniversities.com/universities/gifu-university,,JP Gifu City,535800,JPY,0.0064,535800,535800,535800,3429.12,3429.12,3429.12
947,Glasgow Caledonian University,"GCU London, London, United Kingdom +2",United Kingdom,103,1001-1200,,Yes,Public,Very High,21,2765,L,723,https://www.topuniversities.com/universities/glasgow-caledonian-university,"BSC:
- SAT: 1000+
- GPA: 2.7+
- IELTS: 6+
- TOEFL: 78+

MSC:
- GMAT: 580+
- GPA: 2.7+
- IELTS: 6+
- TOEFL: 78+",London,15200,GBP,1.25,15200,15200,15200,19000,19000,19000
948,Gunma University,"4-2 Aramaki-machi, Maebashi, JP Maebashi, Japan",Japan,47,1001-1200,,,Public,Very High,6,241,M,"1,046",https://www.topuniversities.com/universities/gunma-university,,JP Maebashi,535800,JPY,0.0064,535800,535800,535800,3429.12,3429.12,3429.12
949,Guru Gobind Singh Indraprastha University,"Guru Gobind Singh Indraprastha University New Delhi, India",India,39,1001-1200,,,Public,Very High,10,249,S,441,https://www.topuniversities.com/universities/guru-gobind-singh-indraprastha-university,,Guru Gobind Singh Indraprastha University New Delhi,3400,USD,1,3400,3400,3400,3400,3400,3400
950,Harbin Engineering University,"145 Nantong Street, Nangang District, Harbin, CN Harbin, China (Mainland)",China (Mainland),16,1001-1200,,,Public,Very High,12,583,L,"2,029",https://www.topuniversities.com/universities/harbin-engineering-university,,CN Harbin,16000 - 22000,RMB,0.22,16000,22000,19000,3520,4840,4180
951,Hohai University,"1 Xikang Road, Nanjing, CN Nanjing, China (Mainland)",China (Mainland),16,1001-1200,,,Public,Very High,17,694,XL,"3,182",https://www.topuniversities.com/universities/hohai-university,,CN Nanjing,20000,RMB,0.22,20000,20000,20000,4400,4400,4400
952,Howard University,"Howard University - Main Campus Washington D.C., United States",United States,104,1001-1200,,Yes,Private,High,10,590,M,"1,245",https://www.topuniversities.com/universities/howard-university,"BSC:
- SAT: 1220+
- GPA: 3+
- IELTS: 6+
- TOEFL: 90+

MSC:
- GMAT: 537+
- GPA: 3+
- IELTS: 6+
- TOEFL: 90+",Howard University - Main Campus Washington D.C.,30584,USD,1,30584,30584,30584,30584,30584,30584
953,MATE Hungarian University of Agriculture and Life Sciences,"Buda Campus, Budapest, Hungary +2",Hungary,37,1001-1200,,,Private,Very High,10,1600,M,939,https://www.topuniversities.com/universities/mate-hungarian-university-agriculture-life-sciences,,Budapest,1500 - 2500,EUR,1.08,1500,2500,2000,1620,2700,2160
954,Indiana University–Purdue University Indianapolis,"Indianapolis Campus Indianapolis, United States",United States,104,1001-1200,,,Public,High,15,1400,L,"1,312",https://www.topuniversities.com/universities/indiana-university-purdue-university-indianapolis,"BSC:
- SAT: 1090+
- IELTS: 5+
- TOEFL: 60+

MSC:
- GMAT: 620+
- IELTS: 5+
- TOEFL: 60+",Indianapolis Campus Indianapolis,35420,USD,1,35420,35420,35420,35420,35420,35420
955,International Christian University,"Mitaka Tokyo, Japan",Japan,47,1001-1200,,,Private,Medium,12,148,S,232,https://www.topuniversities.com/universities/international-christian-university,,Mitaka Tokyo,1167000,JPY,0.0064,1167000,1167000,1167000,7468.8,7468.8,7468.8
956,"International Islamic University, Islamabad (IIU)","New Campus IIUI, Islamabad, Pakistan +1",Pakistan,76,1001-1200,,,Public,High,24,1563,L,,https://www.topuniversities.com/universities/international-islamic-university-islamabad-iiu,"BSC:
- Own admission test: 50+
- Bachelor GPA: 2+",Islamabad,29700 - 130500,PKR,0.25,29700,130500,80100,7425,32625,20025
957,Islamic University of Madinah,"Madinah, SA Madinah, Saudi Arabia",Saudi Arabia,84,1001-1200,,,Public,High,20,13011,L,849,https://www.topuniversities.com/universities/islamic-university-madinah,,SA Madinah,38185 - 52420,MYR,0.21,38185,52420,45302.5,8018.85,11008.2,9513.525
958,Jiangnan University,"1800 Lihu Road, Wuxi, CN Wuxi, China (Mainland)",China (Mainland),16,1001-1200,,,Public,Very High,10,353,L,"3,009",https://www.topuniversities.com/universities/jiangnan-university,,CN Wuxi,14800 - 16400,RMB,0.22,14800,16400,15600,3256,3608,3432
959,Kagoshima University,"Sakuragaoka, Kagoshima City, Japan +2",Japan,47,1001-1200,,,Public,High,8,343,M,"1,331",https://www.topuniversities.com/universities/kagoshima-university,,Kagoshima City,0,,,0,0,0,,,
960,Kangwon National University,"Chuncheon Campus, Chuncheon, South Korea +1",South Korea,90,1001-1200,,,Public,High,11,625,L,"1,827",https://www.topuniversities.com/universities/kangwon-national-university,,Chuncheon,1200000,KRW,0.00073,1200000,1200000,1200000,876,876,876
961,Kazakh-British Technical University,"59 Tole bi Avenue, Almaty, KZ Almaty, Kazakhstan",Kazakhstan,49,1001-1200,,,Public,High,13,151,M,396,https://www.topuniversities.com/universities/kazakh-british-technical-university,,KZ Almaty,4000 - 8000,USD,1,4000,8000,6000,4000,8000,6000
962,Kent State University,"Kent State University Kent, United States",United States,104,1001-1200,,Yes,Public,Very High,18,1532,L,"1,191",https://www.topuniversities.com/universities/kent-state-university,"BSC:
- GPA: 3+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GPA: 3+",Kent State University Kent,22903,USD,1,22903,22903,22903,22903,22903,22903
963,Kyushu Institute of Technology,"Tobata Campus, Kitakyushu, Japan +2",Japan,47,1001-1200,,,Public,Very High,16,235,M,362,https://www.topuniversities.com/universities/kyushu-institute-technology,,Kitakyushu,535800,JPY,0.0064,535800,535800,535800,3429.12,3429.12,3429.12
964,Leeds Beckett University,"City Campus, Leeds, United Kingdom +1",United Kingdom,103,1001-1200,,Yes,Public,High,23,3330,L,,https://www.topuniversities.com/universities/leeds-beckett-university,"BSC:
- PTE Academic: 54+
- AP: 3+
- ACT: 26+
- UCAS Tariff: 104+
- TOEFL: 79+
- IELTS: 6+
- SAT: 1270+

MSC:
- SAT: 1270+
- PTE Academic: 54+
- AP: 3+
- TOEFL: 79+
- IELTS: 6+
- ACT: 26+",Leeds,16350,GBP,1.25,16350,16350,16350,20437.5,20437.5,20437.5
965,Lobachevsky University,"Main Campus, Nizhny Novgorod, Russia +7",Russia,83,1001-1200,,,Public,Very High,9,2553,L,"1,920",https://www.topuniversities.com/universities/lobachevsky-university,,Nizhny Novgorod,240000 - 410000,RUB,0.011,240000,410000,325000,2640,4510,3575
966,Lodz University of Technology,"Lodz Campus Lodz, Poland",Poland,79,1001-1200,,,Public,Very High,9,474,M,"1,128",https://www.topuniversities.com/universities/lodz-university-technology,,Lodz Campus Lodz,3500 - 8000,PLN,0.27,3500,8000,5750,945,2160,1552.5
967,London Metropolitan University,"Holloway (Main Campus), London, United Kingdom +1",United Kingdom,103,1001-1200,,Yes,Public,High,24,6361,M,467,https://www.topuniversities.com/universities/london-metropolitan-university,"BSC:
- UCAS Tariff: 96+
- A-levels: 94+
- PTE Academic: 54+
- IELTS: 6+
- SAT: 1400+

MSC:
- GMAT: 580+
- GPA: 2.7+
- IELTS: 6+",London,9535,GBP,1.25,9535,9535,9535,11918.75,11918.75,11918.75
968,Loyola University Chicago,"Maguire Hall, 820 N. Michigan Ave., Chicago, US, Chicago, United States +3",United States,104,1001-1200,,Yes,Private,High,11,558,L,"1,370",https://www.topuniversities.com/universities/loyola-university-chicago,"BSC:
- SAT: 1214+
- GPA: 3+
- IELTS: 6+
- TOEFL: 79+

MSC:
- GMAT: 540+
- GPA: 3+
- IELTS: 6+
- TOEFL: 79+",Chicago,54530,USD,1,54530,54530,54530,54530,54530,54530
969,Lviv Polytechnic National University,"Ukraine Lviv, Ukraine",Ukraine,101,1001-1200,,,Public,Very High,14,166,L,"1,844",https://www.topuniversities.com/universities/lviv-polytechnic-national-university,,Ukraine Lviv,1750 - 2100,USD,1,1750,2100,1925,1750,2100,1925
970,Marmara University,"Göztepe Istanbul, Türkiye",Türkiye,99,1001-1200,,,Public,Very High,21,3147,XL,"2,986",https://www.topuniversities.com/universities/marmara-university,,Göztepe Istanbul,150 - 1650,USD,1,150,1650,900,150,1650,900
971,Mississippi State University,"Starkville Starkville, United States",United States,104,1001-1200,,,Public,Very High,17,747,L,"1,188",https://www.topuniversities.com/universities/mississippi-state-university,,Starkville Starkville,27637,USD,1,27637,27637,27637,27637,27637,27637
972,Multimedia University (MMU),"Cyberjaya, Cyberjaya, Malaysia +1",Malaysia,59,1001-1200,,,Private,Very High,15,1532,M,621,https://www.topuniversities.com/universities/multimedia-university-mmu,,Cyberjaya,12000,MYR,0.21,12000,12000,12000,2520,2520,2520
973,Mustansiriyah University,"Baghdad Campus Baghdad, Iraq",Iraq,42,1001-1200,,,Public,High,7,1363,XL,"4,718",https://www.topuniversities.com/universities/mustansiriyah-university,,Baghdad Campus Baghdad,1271,USD,1,1271,1271,1271,1271,1271,1271
974,Mutah University,"Mutah University, Mu'tah, Jordan +1",Jordan,48,1001-1200,,,Public,Medium,15,1834,M,721,https://www.topuniversities.com/universities/mutah-university,,Mu'tah,900 - 1200,JOD,1.41,900,1200,1050,1269,1692,1480.5
975,Mykolas Romeris University,"Mykolas Romeris University Vilnius, Lithuania",Lithuania,56,1001-1200,,Yes,Public,Very High,14,750,S,,https://www.topuniversities.com/universities/mykolas-romeris-university,,Mykolas Romeris University Vilnius,3176 - 5500,EUR,1.08,3176,5500,4338,3430.08,5940,4685.04
976,NJSC KIMEP University,"2, Abay Avenue, Almaty, KZ Almaty, Kazakhstan",Kazakhstan,49,1001-1200,,,Private,High,16,231,S,124,https://www.topuniversities.com/universities/njsc-kimep-university,,KZ Almaty,126710,KZT,0.0022,126710,126710,126710,278.762,278.762,278.762
977,Nanjing Normal University,"122 Ninghai Road, Nanjing, CN, Nanjing, China (Mainland) +1",China (Mainland),16,1001-1200,,,Public,Very High,13,1490,XL,"2,300",https://www.topuniversities.com/universities/nanjing-normal-university,,Nanjing,16600 - 30000,RMB,0.22,16600,30000,23300,3652,6600,5126
978,Narxoz University,"Main campus Almaty, Kazakhstan",Kazakhstan,49,1001-1200,,,Private,Medium,7,580,M,,https://www.topuniversities.com/universities/narxoz-university,"BSC:
- IELTS: 5.5+

MSC:
- Bachelor GPA: 3+
- IELTS: 6+",Main campus Almaty,38700 - 40000,KZT,0.0022,38700,40000,39350,85.14,88,86.57
979,National Chung Cheng University,"National Chung Cheng University Minxiong Township, Taiwan",Taiwan,97,1001-1200,,,Public,Very High,14,445,M,721,https://www.topuniversities.com/universities/national-chung-cheng-university,,National Chung Cheng University Minxiong Township,30400 - 34833,TWD,0.17,30400,34833,32616.5,5168,5921.61,5544.805
980,"National Technical University ""Kharkiv Polytechnic Institute""","National Technical University «Kharkiv Polytechnic Institute», Kharkiv, Ukraine +7",Ukraine,101,1001-1200,,,Public,Very High,9,1558,M,,https://www.topuniversities.com/universities/national-technical-university-kharkiv-polytechnic-institute,,Kharkiv,1000 - 6000,USD,1,1000,6000,3500,1000,6000,3500
981,National University of Kyiv-Mohyla Academy (NaUKMA),"Kyiv, UA Kyiv, Ukraine",Ukraine,101,1001-1200,,,Public,High,8,14,S,576,https://www.topuniversities.com/universities/national-university-kyiv-mohyla-academy-naukma,,UA Kyiv,3000,USD,1,3000,3000,3000,3000,3000,3000
982,Northern Arizona University,"Flagstaff Mountain Campus Flagstaff, United States",United States,104,1001-1200,,Yes,Public,Very High,20,917,L,"1,239",https://www.topuniversities.com/universities/northern-arizona-university,,Flagstaff Mountain Campus Flagstaff,29568,USD,1,29568,29568,29568,29568,29568,29568
983,Northwest University (China),"1 Taibai Road, Xi'An, CN, Xi'an, China (Mainland) +1",China (Mainland),16,1001-1200,,,Public,Very High,9,702,L,"2,592",https://www.topuniversities.com/universities/northwest-university-china,,Xi'an,15000 - 22000,RMB,0.22,15000,22000,18500,3300,4840,4070
984,O.P. Jindal Global University (JGU),"O. P.Jindal Global University Sonepat, India",India,39,1001-1200,,,Private,Very High,8,51,M,,https://www.topuniversities.com/universities/op-jindal-global-university-jgu,"BSC:
- ACT: 0+
- SAT: 0+
- Own admission test: 0+
- LSAT: 0+
- Year 12 scores: 50+

MSC:
- GRE: 0+
- Own admission test: 0+
- GMAT: 0+
- CAT: 0+",O. P.Jindal Global University Sonepat,7918,USD,1,7918,7918,7918,7918,7918,7918
985,Ohio University,"Ohio University, Athens, United States +4",United States,104,1001-1200,,,Public,High,19,899,L,"1,179",https://www.topuniversities.com/universities/ohio-university,"BSC:
- SAT: 1080+
- GPA: 3+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GPA: 3+
- TOEFL: 80+
- IELTS: 6+",Athens,24838,USD,1,24838,24838,24838,24838,24838,24838
986,Panjab University,"Chandigarh, IN Chandigarh, India",India,39,1001-1200,,,Public,Very High,17,249,L,939,https://www.topuniversities.com/universities/panjab-university,,IN Chandigarh,1175 -6175,USD,1,1175,6175,3675,1175,6175,3675
987,Paul Valéry University Montpellier,"Route de Mende 34, Montpellier, FR Montpellier, France",France,31,1001-1200,,,Public,Very High,27,,L,684,https://www.topuniversities.com/universities/paul-valery-university-montpellier,,FR Montpellier,260,EUR,1.08,260,260,260,280.8,280.8,280.8
988,Poznan University of Technology,"Main campus Poznan, Poland",Poland,79,1001-1200,,,Public,Very High,10,813,L,"1,254",https://www.topuniversities.com/universities/poznan-university-technology,,Main campus Poznan,7800 - 10400,PLN,0.27,7800,10400,9100,2106,2808,2457
989,Rochester Institute of Technology (RIT),"US Campus, Rochester, United States +3",United States,104,1001-1200,,Yes,Private,Very High,12,1822,L,"1,245",https://www.topuniversities.com/universities/rochester-institute-technology-rit,,Rochester,60774,USD,1,60774,60774,60774,60774,60774,60774
990,Russian Presidential Academy of National Economy and Public Administration,"Orenburg Branch, Orenburg, Russia +40",Russia,83,1001-1200,,,Public,Very High,9,1790,XL,"6,192",https://www.topuniversities.com/universities/russian-presidential-academy-national-economy-public-administration,,Orenburg,4055 - 8201,USD,1,4055,8201,6128,4055,8201,6128
991,SRM Institute of Science and Technology,"Kattankulathur, Chennai, India +4",India,39,1001-1200,,,Private,Very High,14,765,XL,,https://www.topuniversities.com/universities/srm-institute-science-technology,"BSC:
- Year 12 scores: 50+
- Own admission test: 60+

MSC:
- Bachelor GPA: 4.5+
- Own admission test: 50+",Chennai,3600 - 5000,USD,1,3600,5000,4300,3600,5000,4300
992,Saint Petersburg Electrotechnical University ETU-LETI,"Saint Petersburg Campus St. Petersburg, Russia",Russia,83,1001-1200,,,Public,Very High,9,1776,M,959,https://www.topuniversities.com/universities/saint-petersburg-electrotechnical-university-etu-leti,,Saint Petersburg Campus St. Petersburg,3608 - 3679,USD,1,3608,3679,3643.5,3608,3679,3643.5
993,Saint-Petersburg Mining University,"Campus #1, St. Petersburg, Russia +2",Russia,83,1001-1200,,,Public,Very High,5,1783,M,"1,957",https://www.topuniversities.com/universities/saint-petersburg-mining-university,,St. Petersburg,600000,RUB,0.011,600000,600000,600000,6600,6600,6600
994,Samara National Research University (Samara University),"Samara National Research University Samara, Russia",Russia,83,1001-1200,,Yes,Public,Very High,7,974,M,"1,338",https://www.topuniversities.com/universities/samara-national-research-university-samara-university,"BSC:
- IELTS: 5+

MSC:
- IELTS: 5+",Samara National Research University Samara,4410,USD,1,4410,4410,4410,4410,4410,4410
995,San Diego State University,"San Diego State University, San Diego , United States +2",United States,104,1001-1200,,Yes,Public,Very High,24,1406,XL,"1,384",https://www.topuniversities.com/universities/san-diego-state-university,"BSC:
- SAT: 1185+
- GPA: 3+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GMAT: 610+
- GRE: 311+
- GPA: 2+
- IELTS: 6+
- TOEFL: 80+",San Diego ,13320,USD,1,13320,13320,13320,13320,13320,13320
996,Sheffield Hallam University,"City Campus Sheffield, United Kingdom",United Kingdom,103,1001-1200,,Yes,Public,High,16,4585,L,"1,693",https://www.topuniversities.com/universities/sheffield-hallam-university,"BSC:
- SAT: 1180+
- GPA: 2+
- IELTS: 6+
- TOEFL: 79+

MSC:
- GMAT: 580+
- IELTS: 6+
- TOEFL: 79+",City Campus Sheffield,17155,GBP,1.25,17155,17155,17155,21443.75,21443.75,21443.75
997,Shinshu University,"Matsumoto Campus, Matsumoto City, Japan +4",Japan,47,1001-1200,,,Public,Very High,10,335,M,"1,086",https://www.topuniversities.com/universities/shinshu-university,,Matsumoto City,535800,JPY,0.0064,535800,535800,535800,3429.12,3429.12,3429.12
998,"Siberian Federal University, SibFU","SibFU Krasnoyarsk, Russia",Russia,83,1001-1200,,,Public,Very High,9,1554,M,983,https://www.topuniversities.com/universities/siberian-federal-university-sibfu,,SibFU Krasnoyarsk,176934,RUB,0.011,176934,176934,176934,1946.274,1946.274,1946.274
999,Silesian University of Technology,"Main Campus Gliwice, Poland",Poland,79,1001-1200,,,Public,Very High,10,666,L,"1,621",https://www.topuniversities.com/universities/silesian-university-technology,,Main Campus Gliwice,1700 - 2340,PLN,0.27,1700,2340,2020,459,631.8,545.4
1000,Slovak University of Agriculture in Nitra,"Slovakia Nitra, Slovakia",Slovakia,88,1001-1200,,,Public,Very High,11,215,S,377,https://www.topuniversities.com/universities/slovak-university-agriculture-nitra,,Slovakia Nitra,1500,USD,1,1500,1500,1500,1500,1500,1500
1001,Slovak University of Technology in Bratislava,"Rector's Officce, Bratislava, Slovakia +9",Slovakia,88,1001-1200,,,Public,Very High,9,987,M,"1,255",https://www.topuniversities.com/universities/slovak-university-technology-bratislava,,Bratislava,1200 - 1500,EUR,1.08,1200,1500,1350,1296,1620,1458
1002,Sohar University,"Sohar University Sohar, Oman",Oman,75,1001-1200,,,Private,Very High,32,77,S,,https://www.topuniversities.com/universities/sohar-university,"BSC:
- IELTS: 5+
- TOEFL: 58+
- Bachelor GPA: 2.5+",Sohar University Sohar,128 - 159,RON,0.011,128,159,143.5,1.408,1.749,1.5785
1003,Soonchunhyang University,"Eumnae-ri, Sinchang-myeon, Asan-si, KR Asan, South Korea",South Korea,90,1001-1200,,,Private,Very High,6,412,M,"1,436",https://www.topuniversities.com/universities/soonchunhyang-university,,KR Asan,"3,356,000 - 4,147,000",KRW,0.00073,3356000,4147000,3751500,2449.88,3027.31,2738.595
1004,Southern Methodist University,"Southern Methodist University Dallas, United States",United States,104,1001-1200,,Yes,Private,Very High,11,859,M,965,https://www.topuniversities.com/universities/southern-methodist-university,"BSC:
- SAT: 1330+
- IELTS: 6.5+
- TOEFL: 80+

MSC:
- GPA: 3+
- IELTS: 6.5+
- TOEFL: 80+",Southern Methodist University Dallas,61880,USD,1,61880,61880,61880,61880,61880,61880
1005,Southwest University,"No.2 Tiansheng Road, BeiBei District, Chongqing, CN Chongqing, China (Mainland)",China (Mainland),16,1001-1200,,,Public,Very High,14,548,XL,"2,771",https://www.topuniversities.com/universities/southwest-university,,CN Chongqing,18000 - 22000,CNY,0.14,18000,22000,20000,2520,3080,2800
1006,Sumy State University,"Main campus, Sumy, Ukraine +1",Ukraine,101,1001-1200,,,Public,High,10,1276,M,,https://www.topuniversities.com/universities/sumy-state-university,,Sumy,1800 - 3200,USD,1,1800,3200,2500,1800,3200,2500
